Requirement ID,Requirement,Section,Keyword,Validation Mode,Is Testable,Test Module,Test Name
R-30753,"A VNF's Heat Orchestration Template's Resource
``OS::ContrailV2::NetworkIpam``
Resource ID
**MUST**
contain the ``{network-role}``.",OS::ContrailV2::NetworkIpam,MUST,static,TRUE,tests.test_contrail_resource_id,test_contrail_networkipam_resource_id
R-30804,"A VNF's Heat Orchestration Template's Resource
``OS::Heat::MultipartMime``
Resource ID
**MUST**
contain the ``{vm-type}``.",OS::Heat::MultipartMime,MUST,static,TRUE,tests.test_multipart_mime_resource_id,test_multipart_mime
R-31141,"VNF Heat Orchestration Template's Cinder Volume Module's Environment File
**MUST** be named identical to the VNF Heat Orchestration Template's
Cinder Volume Module with ``.y[a]ml`` replaced with ``.env``.",Cinder Volume Modules,MUST,static,TRUE,tests.test_heat_pairs_provided,test_heat_pairs_provided
R-32094,"A VNF's Heat Orchestration Template parameter declaration **MAY**
contain the attribute ``label:``.",label,MAY,,FALSE,,
R-32394,"A VNF's Heat Orchestration Template's use of ``{vm-type}`` in all Resource
property parameter names **MUST** be the same case.",{vm-type},MUST,static,TRUE,tests.test_vm_type_case,test_vm_type_case
R-32557,"A VNF's Heat Orchestration Template parameter declaration **MAY**
contain the attribute ``hidden:``.",hidden,MAY,,FALSE,,
R-33132,"A VNF's Heat Orchestration Template **MAY** be
 1.) Base Module Heat Orchestration Template (also referred to as a
     Base Module),
 2.) Incremental Module Heat Orchestration Template (referred to as
     an Incremental Module), or
 3.) a Cinder Volume Module Heat Orchestration Template (referred to as
     Cinder Volume  Module).",ONAP VNF Modularity Overview,MAY,,FALSE,,
R-34037,"The VNF's Heat Orchestration Template's
resource ``OS::Neutron::Port`` property ``fixed_ips``
map property ``ip_address`` parameter
**MUST** be declared as either type ``string`` or type
``comma_delimited_list``.","Property: fixed_ips, Map Property: ip_address",MUST,static,TRUE,tests.test_fixed_ips_include_vm_type_network_role,test_fixed_ips_include_vm_type_network_role
R-34055,"A VNF's Heat Orchestration Template's ``OS::Nova::Server`` resource
property ``metadata`` key/value pair ``workload_context``
parameter ``workload_context`` **MUST NOT**
have parameter constraints defined.",workload_context,MUST NOT,static,TRUE,tests.test_required_parameters_no_constraints,test_workload_context_parameter_has_no_constraints
R-348813,"The VNF's Heat Orchestration Template's ZIP file **MUST NOT** include
a binary image file.",ONAP VNF On-Boarding,MUST,,TRUE,tests.test_no_image_files,test_no_image_files_included
R-35414,"A VNF Heat Orchestration's template **MUST** contain the
section ``parameters:``.",parameters,MUST,static,TRUE,tests.test_heat_template_structure,test_heat_template_structure_contains_parameters
R-35666,"If a VNF has an internal network, the VNF Heat Orchestration Template
**MUST** include the heat resources to create the internal network.",Internal Networks,MUST,static,TRUE,tests.test_network_format,test_network_resource_id_format
R-35735,"When the VNF's Heat Orchestration Template's Resource
``OS::Neutron::Port`` is attaching to an external network (per the
ONAP definition, see Requirement R-57424),
and an IPv6 Virtual IP (VIP)
address is assigned via ONAP automation
using the property ``allowed_address_pairs``
map property ``ip_address``,
the parameter name **MUST** follow the
naming convention

  * ``{vm-type}_{network-role}_floating_v6_ip``

where

  * ``{vm-type}`` is the {vm-type} associated with the
    OS::Nova::Server
  * ``{network-role}`` is the {network-role} of the external
    network

And the parameter **MUST** be declared as type ``string``.","VIP Assignment, External Networks, Supported by Automation",MUST,static,TRUE,tests.test_allowed_address_pairs_include_vm_type_network_role,test_allowed_address_pairs_include_vm_type_network_role
R-36542,"A VNF's Heat Orchestration Template's ``OS::Nova::Server`` resource
property ``metadata`` key/value pair ``vnf_name`` parameter
``vnf_name`` **MUST NOT**
be enumerated in the Heat Orchestration Template's environment file.",vnf_name,MUST NOT,static,TRUE,tests.test_environment_file_parameters,test_nova_server_vnf_name_parameter_doesnt_exist_in_environment_file
R-36582,A VNF's Base Module **MAY** utilize nested heat.,Nested Heat Orchestration Templates Overview,MAY,,FALSE,,
R-36687,"A VNF's Heat Orchestration Template's  ``{vm-type}`` case in Resource
property parameter names **SHOULD** match the case of ``{vm-type}``
in Resource IDs and vice versa.",{vm-type},SHOULD,,FALSE,,
R-36772,"A VNF's Heat Orchestration Template's parameter **MUST** include the
attribute ``type:``.",type,MUST,static,TRUE,tests.test_heat_template_parameters_contain_required_fields,test_heat_template_parameters_contain_required_fields
R-36982,"A VNF's Heat Orchestration template **MAY** contain the ``outputs:``
section.",outputs,MAY,,FALSE,,
R-37028,A VNF **MUST** be composed of one Base Module,ONAP VNF Modularity Overview,MUST,,TRUE,tests.test_base_template_names,test_base_template_names
R-37039,"A VNF's Heat Orchestration Template's ``OS::Nova::Server`` resource
property
``metadata`` key/value pair ``vf_module_index`` parameter
``vf_module_index`` **MUST NOT**
be enumerated in the Heat Orchestration Template's environment file.",vf_module_index,MUST NOT,static,TRUE,tests.test_environment_file_parameters,test_nova_server_vf_module_index_parameter_doesnt_exist_in_environment_file
R-37437,"A VNF's Heat Orchestration Template's ``OS::Nova::Server``
resource property ``metadata`` **MUST**
contain the  key/value pair ``vnf_id``
and the value **MUST** be obtained via a ``get_param``.",vnf_id,MUST,static,TRUE,tests.test_servers_have_required_metadata,test_servers_have_required_metadata
R-38236,"The VNF's Heat Orchestration Template's
resource ``OS::Neutron::Port`` property ``fixed_ips``
map property ``subnet`` parameter
**MUST** be declared type ``string``.","Property: fixed_ips, Map Property: subnet",MUST,static,TRUE,tests.test_neutron_port_fixed_ips,test_neutron_port_fixed_ips
R-38474,A VNF's Base Module **MUST** have a corresponding Environment File.,ONAP VNF Modularity Overview,MUST,static,TRUE,tests.test_env_and_yaml_same_name,test_env_and_yaml_same_name
R-39067,"A VNF's Heat Orchestration Template's ``OS::Nova::Server`` resource
property
``metadata`` key/value pair ``vf_module_name`` parameter **MUST** be
declared as ``vf_module_name`` and the parameter **MUST**
be defined as type: ``string``.",vf_module_name,MUST,static,TRUE,tests.test_server_parameters,test_vf_module_name_parameter_type_and_parameter_name
R-39349,"A VNF Heat Orchestration Template **MUST NOT** be designed to utilize the
OpenStack ``heat stack-update`` command for scaling (growth/de-growth).",Support of heat stack update,MUST NOT,static,TRUE,,
R-39402,"A VNF's Heat Orchestration Template **MUST** contain the
section ``description:``.",description,MUST,static,TRUE,tests.test_heat_template_structure,test_heat_template_structure_contains_description
R-39841,"The VNF's Heat Orchestration Template's Resource
``OS::Neutron::Port`` property ``fixed_ips``
map property ``ip_address`` parameter
``{vm-type}_{network-role}_ip_{index}``
**MUST NOT** be enumerated in the
VNF's Heat Orchestration Template's Environment File.","Property: fixed_ips, Map Property: ip_address",MUST NOT,static,TRUE,tests.test_environment_file_parameters,test_neutron_port_external_fixedips_ipaddress_parameter_doesnt_exist_in_environment_file
R-40499,"Each VNF's Heat Orchestration Template's ``{vm-type}`` **MUST**
have a unique parameter name for the ``OS::Nova::Server`` property
``flavor`` even if more than one ``{vm-type}`` shares the same flavor.",Property: flavor,MUST,static,TRUE,tests.test_nova_servers_resource_ids,test_nova_servers_valid_resource_ids
R-40518,"A VNF's Heat Orchestration Template's parameter defined
in a non-nested YAML file as type
``string`` **MAY** have a parameter constraint defined.",constraints,MAY,,FALSE,,
R-40551,"A VNF's Heat Orchestration Template's Nested YAML files **MAY**
(or **MAY NOT**) contain the section ``resources:``.",resources,MAY,,FALSE,,
R-40971,"When the VNF's Heat Orchestration Template's Resource
``OS::Neutron::Port`` is attaching to an external network (per the
ONAP definition, see Requirement R-57424),
and an IPv4 address is assigned
using the property ``fixed_ips``
map property ``ip_address`` and the parameter type is defined as a string,
the parameter name **MUST** follow the
naming convention

* ``{vm-type}_{network-role}_ip_{index}``

where

* ``{vm-type}`` is the {vm-type} associated with the ``OS::Nova::Server``
* ``{network-role}`` is the {network-role} of the external network
* ``{index}`` is a numeric value that **MUST** start at zero in a
  VNF's Heat Orchestration Template and **MUST** increment by one","Property: fixed_ips, Map Property: ip_address",MUST,static,TRUE,tests.test_fixed_ips_include_vm_type_network_role,test_fixed_ips_include_vm_type_network_role
R-41492,"When the VNF's Heat Orchestration Template's Resource
``OS::Neutron::Port`` is attaching to an external network (per the
ONAP definition, see Requirement R-57424),
and an IPv4 Virtual IP (VIP)
address is assigned via ONAP automation
using the property ``allowed_address_pairs``
map property ``ip_address`` and
the parameter name **MUST** follow the
naming convention

  * ``{vm-type}_{network-role}_floating_ip``

where

  * ``{vm-type}`` is the {vm-type} associated with the
    OS::Nova::Server
  * ``{network-role}`` is the {network-role} of the external
    network

And the parameter **MUST** be declared as type ``string``.","VIP Assignment, External Networks, Supported by Automation",MUST,static,TRUE,tests.test_allowed_address_pairs_include_vm_type_network_role,test_allowed_address_pairs_include_vm_type_network_role
R-41888,"A VNF's Heat Orchestration Template intrinsic function
``get_file`` **MUST NOT** utilize URL-based file retrieval.",Heat Files Support (get_file),MUST NOT,static,TRUE,tests.test_get_file_only_reference_local_files,test_get_file_no_url_retrieval
R-41956,"If a VNF requires ONAP to assign a Virtual IP (VIP) Address to
ports connected an external network, the port
**MUST NOT** have more than one IPv6 VIP address.","VIP Assignment, External Networks, Supported by Automation",MUST NOT,static,TRUE,tests.test_neutron_port_addresses,test_neutron_port_external_ipaddress_v6
R-42685,"A VNF's Heat Orchestration template's Environment File's
**MAY** contain the ``parameter_merge_strategies:`` section.",Environment File Format,MAY,,FALSE,,
R-43413,"A VNF **MUST** utilize a modular Heat Orchestration Template design to
support scaling (growth/de-growth).",Support of heat stack update,MUST,none,FALSE,,
R-43740,"VNF's Heat Orchestration Template's Resource **MAY** declare the
attribute ``deletion_policy:``.",deletion_policy,MAY,,FALSE,,
R-44001,"A VNF's Heat Orchestration Template parameter declaration **MUST**
contain the attribute ``description``.",description,MUST,static,TRUE,tests.test_heat_template_parameters_contain_required_fields,test_heat_template_parameters_contain_required_fields
R-44271,"The VNF's Heat Orchestration Template's Resource ``OS::Nova::Server``
property
``name`` parameter value **SHOULD NOT** contain special characters
since the Contrail GUI has a limitation displaying special characters.

However, if special characters must be used, the only special characters
supported are: --- \"" ! $ ' (\ \ ) = ~ ^ | @ ` { } [ ] > , . _",Contrail Issue with Values for OS::Nova::Server Property Name,SHOULD NOT,,FALSE,,
R-44318,"A VNF's Heat Orchestration Template's ``OS::Nova::Server`` resource
property ``metadata`` key/value pair ``vnf_name``
parameter ``vnf_name`` **MUST NOT**
have parameter constraints defined.",vnf_name,MUST NOT,static,TRUE,tests.test_required_parameters_no_constraints,test_vnf_name_parameter_has_no_constraints
R-45188,"The VNF's Heat Orchestration Template's Resource 'OS::Nova::Server' property
``flavor`` parameter name **MUST** follow the naming convention
``{vm-type}_flavor_name``.",Property: flavor,MUST,static,TRUE,tests.test_nova_servers_vm_types,test_nova_server_flavor_parameter
R-45602,"If a VNF's Port is attached to a network (internal or external)
and the port's IP addresses are cloud assigned by OpenStack's DHCP
Service, the ``OS::Neutron::Port`` Resource's

* property ``fixed_ips`` map property ``ip_address`` **MUST NOT** be used
* property ``fixed_ips`` map property ``subnet``
  **MAY** be used",Items to Note,MUST NOT,none,FALSE,,
R-46096,"A VNF's Heat Orchestration template's Environment File's
**MAY** contain the ``encrypted_parameters:`` section.",Environment File Format,MAY,,FALSE,,
R-46119,"A VNF's Heat Orchestration Template's Resource ``OS::Heat::CinderVolume``
**MAY** be defined in a Base Module.",ONAP VNF Modularity Overview,MAY,,FALSE,,
R-46128,"A VNF's Heat Orchestration Template's Resource ``OS::ContrailV2::InstanceIp``
that is configuring an IPv6 Address on a port attached to an external network
Resource ID **MUST** use the naming convention

*  ``{vm-type}_{vm-type_index}_{network-role}_vmi_{vmi_index}_v6_IP_{index}``

where

* ``{vm-type}`` is the vm-type
* ``{vm-type_index}`` is the instance of the ``{vm-type}``
* ``{network-role}`` is the network-role of the network
  that the port is attached to
* ``{vmi_index}`` is the instance of the virtual machine interface
  (e.g., port)  on the vm-type
  attached to the network of {network-role}
* ``v6_IP`` signifies that an IPv6 address is being configured
* ``{index}`` is the index of the IPv6 address",OS::ContrailV2::InstanceIp,MUST,static,TRUE,tests.test_contrail_instance_ip_resource_id,test_contrail_instance_ip_resource_id_external
R-46461,"A VNF's port connected to an internal network **MUST NOT** use the port
for the purpose of reaching VMs in another VNF and/or an
external gateway and/or
external router.",Internal Networks,MUST NOT,none,FALSE,,
R-46839,"A VNF's Heat Orchestration Template's use of ``{vm-type}``
in all Resource IDs **MUST** be the same case.",{vm-type},MUST,static,TRUE,tests.test_vm_type_resource_id,test_vm_type_resource_id
R-46968,"VNF's Heat Orchestration Template's Resource **MAY** declare the
attribute ``depends_on:``.",depends_on,MAY,,FALSE,,
R-47061,"A VNF's Heat Orchestration Template's OS::Nova::Server
Resource **SHOULD** contain the metadata map value parameter
'workload_context'.",workload_context,SHOULD,,FALSE,,
R-47874,"A VNF **MAY** have
  * Only an IPv4 OAM Management IP Address
  * Only an IPv6 OAM Management IP Address
  * Both a IPv4 and IPv6 OAM Management IP Addresses",OAM Management IP Addresses,MAY,,FALSE,,
R-48067,"A VNF's Heat Orchestration Template's ``{vm-type}`` **MUST NOT** be a
substring
of ``{network-role}``.",{vm-type},MUST NOT,static,TRUE,tests.test_nova_servers_vm_types,test_vm_type_network_role_collision
R-481670,"The VNF's Heat Orchestration Template's Resource ``OS::Nova::Server``
property ``flavor`` value **MUST** be be obtained via a ``get_param``.",Property: flavor,MUST,static,TRUE,tests.test_nova_servers_vm_types_use_get_param,test_vm_type_assignments_on_nova_servers_only_use_get_param
R-48880,"If a VNF's Port is attached to an external network and the port's
IP addresses are assigned by ONAP's SDN-Controller,
the ``OS::Neutron::Port`` Resource's

* property ``fixed_ips`` map property ``ip_address`` **MUST** be used
* property ``fixed_ips`` map property ``subnet``
  **MUST NOT** be used",Items to Note,MUST,none,FALSE,,
R-48987,"If the VNF's OAM Management IP Address is cloud assigned and
and the OAM IP Address is required to be inventoried in ONAP A&AI,
then the parameter **MUST** be obtained by the
resource ``OS::Neutron::Port``
attribute ``ip_address``.",OAM Management IP Addresses,MUST,none,FALSE,,
R-50011,"A VNF's Heat Orchestration Template's ``OS::Heat::ResourceGroup``
property ``count`` **MUST** be enumerated in the VNF's
Heat Orchestration Template's Environment File and **MUST** be
assigned a value.",OS::Heat::ResourceGroup Property count,MUST,static,TRUE,tests.test_environment_file_parameters,test_heat_rg_count_parameter_exists_in_environment_file
R-50436,"The VNF's Heat Orchestration Template's Resource ``OS::Nova::Server``
property
``flavor`` parameter **MUST** be declared as type: ``string``.",Property: flavor,MUST,static,TRUE,tests.test_nova_servers_vm_types,test_nova_server_flavor_parameter
R-50468,"A VNF's Heat Orchestration Template's Resource
``OS::ContrailV2::VirtualMachineInterface`` that is attaching to an internal network
Resource ID **MUST** use the naming convention

* ``{vm-type}_{vm-type_index}_int_{network-role}_vmi_{vmi_index}``

where

* ``{vm-type}`` is the vm-type
* ``{vm-type_index}`` is the instance of the ``{vm-type}``
* ``{network-role}`` is the network-role of the network
  that the port (i.e. virtual machine interface) is attached to
* ``{vmi_index}`` is the instance of the vmi on the vm-type
  attached to the network of ``{network-role}``",OS::ContrailV2::VirtualMachineInterface,MUST,static,TRUE,tests.test_contrail_vmi_resource_id,test_contrail_instance_ip_resource_id_internal
R-50816,"A VNF's Heat Orchestration Template's ``OS::Nova::Server``
resource  property ``metadata`` **MAY**
contain the key/value pair ``vf_module_index``
and the value **MUST** be obtained via a ``get_param``.",vf_module_index,MUST,,TRUE,tests.test_servers_metadata_use_get_param,test_servers_vf_module_index_metadata_use_get_param
R-511776,"When a VNF's Heat Orchestration Template is ready
to be on-boarded to ONAP,
all files composing the VNF Heat Orchestration Template
**MUST** be placed in a flat (i.e., non-hierarchical) directory and
archived using ZIP.  The resulting ZIP file is uploaded into ONAP.",ONAP VNF On-Boarding,MUST,,TRUE,tests.test_files_in_flat_dir,test_files_in_flat_dir
R-51430,"The VNF's Heat Orchestration Template's Resource ``OS::Nova::Server``
property
``name`` parameter **MUST** be declared as either type ``string``
or type ``comma_delimited_list``.",Property: Name,MUST,static,TRUE,tests.test_nova_servers_vm_types,test_nova_server_name_parameter
R-52425,"A VNF's port connected to an internal network **MUST**
use the port for the purpose of reaching VMs in the same VNF.",Internal Networks,MUST,none,FALSE,,
R-52753,"VNF's Heat Orchestration Template's Base Module's output parameter's
name and type **MUST** match the VNF's Heat Orchestration Template's
incremental Module's name and type.",ONAP Base Module Output Parameters,MUST,static,TRUE,,
R-53310,"A VNF's Heat Orchestration Template's Resource ``OS::ContrailV2::InstanceIp``
that is configuring an IPv4 Address on a port attached to an external network
Resource ID **MUST** use the naming convention

*  ``{vm-type}_{vm-type_index}_{network-role}_vmi_{vmi_index}_IP_{index}``

where

* ``{vm-type}`` is the vm-type
* ``{vm-type_index}`` is the instance of the {vm-type}
* ``{network-role}`` is the network-role of the network that the port is attached to
* ``{vmi_index}`` is the instance of the virtual machine interface
  (e.g., port)  on the vm-type attached to the network of {network-role}
* ``IP`` signifies that an IPv4 address is being configured
* ``{index}`` is the index of the IPv4 address",OS::ContrailV2::InstanceIp,MUST,static,TRUE,tests.test_contrail_instance_ip_resource_id,test_contrail_instance_ip_resource_id_external
R-53433,A VNF's Cinder Volume Module **MUST** have a corresponding environment file,ONAP VNF Modularity Overview,MUST,static,TRUE,tests.test_env_and_yaml_same_name,test_env_and_yaml_same_name
R-53952,"A VNF's Heat Orchestration Template's Resource
**MUST NOT** reference a HTTP-based resource definitions.",type,MUST NOT,static,TRUE,tests.test_no_http_resources,test_no_http_resources
R-54171,"When the VNF's Heat Orchestration Template's Resource ``OS::Nova::Server``
property ``name`` parameter is defined as a ``string``,
the parameter name **MUST** follow the naming convention

* ``{vm-type}_name_{index}``

where ``{index}`` is a numeric value that **MUST** start at
zero in a VNF's Heat Orchestration Template and **MUST** increment by one.",Property: Name,MUST,static,TRUE,tests.test_nova_server_name_parameters_start_at_0,test_nova_server_name_parameter_starts_at
R-54340,"A VNF's Heat Orchestration Template's ``OS::Nova::Server`` resource
property
``metadata`` key/value pair ``vf_module_index`` parameter **MUST**
be declared as ``vf_module_index`` and the parameter **MUST** be
defined as type: ``number``.",vf_module_index,MUST,static,TRUE,tests.test_server_parameters,test_vf_module_index_parameter_type_and_parameter_name
R-54458,"A VNF's Heat Orchestration Template's Resource
``OS::ContrailV2::VirtualMachineInterface`` that is attaching to a sub-interface
network Resource ID **MUST** use the naming convention

* ``{vm-type}_{vm-type_index}_subint_{network-role}_vmi_{vmi_index}``

where

* ``{vm-type}`` is the vm-type
* ``{vm-type_index}`` is the instance of the ``{vm-type}``
* ``{network-role}`` is the network-role of the network
  that the port (i.e. virtual machine interface) is attached to
* ``{vmi_index}`` is the instance of the vmi on the vm-type
  attached to the network of ``{network-role}``",OS::ContrailV2::VirtualMachineInterface,MUST,static,TRUE,tests.test_contrail_vmi_resource_id,test_contrail_instance_ip_resource_id_subint
R-54517,"When a VNF's Heat Orchestration Template's resource is associated with
a single ``{vm-type}``, the Resource ID **MUST** contain the
``{vm-type}``.",Resource IDs,MUST,none,FALSE,,
R-55218,"A VNF's Heat Orchestration Template's ``OS::Nova::Server``
resource property
``metadata`` key/value pair ``vnf_id`` parameter ``vnf_id`` **MUST NOT**
have parameter constraints defined.",vnf_id,MUST NOT,static,TRUE,tests.test_required_parameters_no_constraints,test_vnf_id_parameter_has_no_constraints
R-55306,"A VNF's Heat Orchestration Template's ``OS::Nova::Server`` resource
property ``metadata`` key/value pair ``vf_module_index`` **MUST NOT**
be used in a ``OS::Cinder::Volume`` resource and **MUST NOT** be
used in VNF's Volume template;
it is not supported.",vf_module_index,MUST NOT,static,TRUE,tests.test_volume_templates,test_no_vf_module_index_in_cinder
R-56183,"A VNF's Heat Orchestration Template's ``OS::Nova::Server`` resource
property ``metadata``key/value pair ``environment_context``
parameter ``environment_context`` **MUST NOT**
have parameter constraints defined.",environment_context,MUST NOT,static,TRUE,tests.test_required_parameters_no_constraints,test_environment_context_parameter_has_no_constraints
R-56287,"If the VNF's OAM Management IP Address is assigned by ONAP SDN-C and
assigned in the VNF's Heat Orchestration Template's via a heat resource
``OS::Neutron::Port`` property ``fixed_ips`` map property
``ip_adress`` parameter (e.g., ``{vm-type}_{network-role}_ip_{index}``,
``{vm-type}_{network-role}_v6_ip_{index}``)
and the OAM IP Address is required to be inventoried in ONAP A&AI,
then the parameter **MUST** be echoed in an output statement.

.. code-block:: yaml

  outputs:
      oam_management_v4_address:
        value: {get_param: {vm-type}_{network-role}_ip_{index} }
      oam_management_v6_address:
        value: {get_param: {vm-type}_{network-role}_v6_ip_{index} }",OAM Management IP Addresses,MUST,none,FALSE,,
R-56438,"A VNF's Heat Orchestration Template's Nested YAML file extension **MUST**
be in the lower case format ``.yaml`` or ``.yml``.",ONAP Heat Orchestration Template Filenames,MUST,static,TRUE,tests.test_heat_pairs_provided,test_heat_pairs_provided
R-56721,A VNF's Incremental Module **MAY** utilize nested heat.,Nested Heat Orchestration Templates Overview,MAY,,FALSE,,
R-57282,"Each VNF's Heat Orchestration Template's ``{vm-type}`` **MUST**
have a unique parameter name for the ``OS::Nova::Server`` property
``image`` even if more than one ``{vm-type}`` shares the same image.",Property: image,MUST,static,TRUE,tests.test_nova_servers_resource_ids,test_nova_servers_valid_resource_ids
R-57424,"A VNF's port connected to an external network **MUST**
use the port for the purpose of reaching
VMs in another VNF and/or an external gateway and/or external router.
A VNF's port connected to an external network **MAY**
use the port for the purpose of reaching VMs in the same VNF.",External Networks,MUST,none,FALSE,,
R-58424,"A VNF's Heat Orchestration Template's use of ``{network-role}``
in all Resource property parameter names **MUST** be the same case.",{network-role},MUST,none,FALSE,,
R-58670,"The VNF's Heat Orchestration Template's Resource ``OS::Nova::Server``
property
``image`` parameter name **MUST** follow the naming convention
``{vm-type}_image_name``.",Property: image,MUST,static,TRUE,tests.test_nova_servers_vm_types,test_nova_server_image_parameter
R-589037,"A VNF Heat Orchestration Template's Cinder Volume Module resources section
**MUST** only be defined using one of the following:

* one of more ``OS::Cinder::Volume`` resources
* one or more ``OS::Heat::ResourceGroup`` resources that call a nested YAML
  file that contains only ``OS::Cinder::Volume`` resources
* a resource that calls a nested YAML file (static nesting) that contains
  only ``OS::Cinder::Volume`` resources",Cinder Volume Modules,MUST,static,TRUE,tests.test_volume_module_naming,test_detected_volume_module_follows_naming_convention
R-59434,"A VNF's Heat Orchestration Template's Resource ``OS::Neutron::Subnet``
Resource ID **SHOULD** use the naming convention

* ``int_{network-role}_subnet_{index}``

where

* ``{network-role}`` is the network-role
* ``{index}`` is the ``{index}`` of the subnet of the network",OS::Neutron::Subnet,SHOULD,,FALSE,,
R-59482,"A VNF's Heat Orchestration Template **MUST NOT** be VNF instance
specific or cloud site specific.",Scope of a Heat Orchestration Template,MUST NOT,none,FALSE,,
R-59568,"The VNF's Heat Orchestration Template's Resource ``OS::Nova::Server``
property
``availability_zone`` parameter **MUST NOT** be enumerated in the Heat
Orchestration
Template's Environment File.",Property: availability_zone,MUST NOT,static,TRUE,tests.test_environment_file_parameters,test_nova_server_az_parameter_doesnt_exist_in_environment_file
R-59930,"A VNF's Heat Orchestration template's Environment File's
**MAY** contain the ``parameter_defaults:`` section.",Environment File Format,MAY,,FALSE,,
R-599443,"A parameter enumerated in a
VNF's Heat Orchestration Template's environment file **MUST** be declared
in the
corresponding VNF's Heat Orchestration Template's YAML file's
``parameters:`` section.",ONAP Heat Support of Environment Files,MUST,static,TRUE,tests.test_env_parameters_defined_in_template,test_env_params_are_defined_in_template
R-60011,"A VNF's Heat Orchestration Template **MUST** have no more than two
levels of nesting.",Nested Heat Template Requirements,MUST,,TRUE,tests.test_nesting_level,test_nesting_level
R-61001,"A shared Heat Orchestration Template resource is a resource that **MUST**
be defined in the base module and will be referenced by one or
more resources in one or more incremental modules.

The UUID of the shared resource (created in the base module) **MUST** be
exposed by declaring a parameter in the
``outputs`` section of the base module.

For ONAP to provided the UUID value of the shared resource to the
incremental module, the parameter name defined in the ``outputs``
section of the base module **MUST** be defined as a parameter
in the ``parameters`` section of the incremental module.

ONAP will capture the output parameter name and value in the base module
and provide the value to the corresponding parameter(s) in the
incremental module(s).",ONAP Heat VNF Modularity,MUST,none,FALSE,,
R-62187,"A VNF's Heat Orchestration Template's Resource ``OS::ContrailV2::InstanceIp``
that is configuring an IPv4 Address on a port attached to an internal network
Resource ID **MUST** use the naming convention

*  ``{vm-type}_{vm-type_index}_int_{network-role}_vmi_{vmi_index}_IP_{index}``

where

* ``{vm-type}`` is the vm-type
* ``{vm-type_index}`` is the instance of the ``{vm-type}``
* ``{network-role}`` is the network-role of the network
  that the port is attached to
* ``{vmi_index}`` is the instance of the virtual machine interface
  (e.g., port)  on the vm-type
  attached to the network of ``{network-role}``
* ``IP`` signifies that an IPv4 address is being configured
* ``{index}`` is the index of the IPv4 address",OS::ContrailV2::InstanceIp,MUST,static,TRUE,tests.test_contrail_instance_ip_resource_id,test_contrail_instance_ip_resource_id_internal
R-62428,"A VNF's Heat Orchestration Template's ``OS::Nova::Server`` resource
property ``metadata`` key/value pair ``vnf_name`` parameter **MUST**
be declared as ``vnf_name`` and the parameter **MUST** be defined as
type: ``string``.",vnf_name,MUST,static,TRUE,tests.test_server_parameters,test_vnf_name_parameter_type_and_parameter_name
R-62590,"The VNF's Heat Orchestration Template's Resource ``OS::Neutron::Port``
property ``fixed_ips``
map property ``ip_address``
parameter associated with an external network, i.e.,

 * ``{vm-type}_{network-role}_ip_{index}``
 * ``{vm-type}_{network-role}_v6_ip_{index}``
 * ``{vm-type}_{network-role}_ips``
 * ``{vm-type}_{network-role}_v6_ips``


**MUST NOT** be enumerated in the Heat Orchestration
Template's Environment File.  ONAP provides the IP address
assignments at orchestration time.","Property: fixed_ips, Map Property: ip_address",MUST NOT,static,TRUE,tests.test_environment_file_parameters,test_neutron_port_external_fixedips_ipaddress_parameter_doesnt_exist_in_environment_file
R-62802,"When the VNF's Heat Orchestration Template's
resource ``OS::Neutron::Port`` is attaching
to an external network (per the ONAP definition, see
Requirement R-57424),
and an IPv4 address is being cloud assigned by OpenStack's DHCP Service
and the external network IPv4 subnet is to be specified
using the property ``fixed_ips``
map property ``subnet``, the parameter
**MUST** follow the naming convention

  * ``{network-role}_subnet_id``

where

  * ``{network-role}`` is the network role of the network.","Property: fixed_ips, Map Property: subnet",MUST,static,TRUE,tests.test_neutron_port_fixed_ips,test_neutron_port_external_fixed_ips
R-62983,"When the VNF's Heat Orchestration Template's Resource
``OS::Neutron::Port`` is attaching to an external network (per the
ONAP definition, see Requirement R-57424), the
``network`` parameter name **MUST**

  * follow the naming convention ``{network-role}_net_id`` if the Neutron
    network UUID value is used to reference the network
  * follow the naming convention ``{network-role}_net_name`` if the
    OpenStack network name is used to reference the network.

where ``{network-role}`` is the network-role of the external network
and a ``get_param`` **MUST** be used as the intrinsic function.",Property: network,MUST,static,TRUE,tests.test_network_format,test_network_format
R-63137,"VNF's Heat Orchestration Template's Resource **MAY** declare the
attribute ``update_policy:``.",update_policy,MAY,,FALSE,,
R-63956,"If the VNF's ports connected to a unique external network
and the port's IP addresses are ONAP SDN-C assigned IP Addresses,
the IPv4 Addresses **MAY** be from different subnets and the IPv6
Addresses **MAY** be from different subnets.",Items to Note,MAY,,FALSE,,
R-64197,"A VNF's Heat Orchestration Template's Resource ``OS::Heat::ResourceGroup``
Resource ID that creates sub-interfaces **MUST** use the naming convention

* ``{vm-type}_{vm-type_index}_subint_{network-role}_port_{port-index}_subinterfaces``

where

* ``{vm-type}`` is the vm-type
* ``{vm-type_index}`` is the instance of the ``{vm-type}``
* ``{network-role}`` is the network-role of the networks
  that the sub-interfaces attach to
* ``{port-index}`` is the instance of the port on the vm-type
  attached to the network of ``{network-role}``",OS::Heat::ResourceGroup,MUST,static,TRUE,,
